"color","fallen"
"orange","no"
"red","yes"
"orange","no"
"brown","yes"
"orange","no"
"red","no"
"green","no"
"brown","yes"
"red","no"
"green","no"
"orange","yes"
"green","no"
"orange","no"
"green","no"
"orange","no"
"orange","yes"
"red","yes"
"orange","no"
"green","no"
"orange","no"
"orange","no"
"orange","no"
"orange","yes"
"orange","no"
"red","yes"
"orange","no"
"orange","yes"
"red","no"
"orange","no"
"orange","yes"
"red","yes"
"orange","no"
"red","no"
"red","no"
"brown","yes"
"orange","yes"
"orange","no"
"green","no"
"orange","yes"
"orange","yes"
"orange","yes"
"red","no"
"red","yes"
"orange","no"
"orange","yes"
"orange","no"
"orange","no"
"green","no"
"red","no"
"red","no"
"green","no"
"orange","yes"
"red","no"
"green","no"
"orange","no"
"red","no"
"orange","no"
"red","no"
"brown","yes"
"orange","no"
"brown","yes"
"red","no"
"orange","no"
"orange","no"
"green","no"
"red","no"
"red","yes"
"brown","yes"
"orange","yes"
"brown","yes"
"red","yes"
"green","yes"
"brown","no"
"red","no"
"green","no"
"orange","no"
"orange","yes"
"red","no"
"red","no"
"red","no"
"green","no"
"red","yes"
"orange","no"
"orange","yes"
"orange","no"
"orange","no"
"orange","yes"
"red","no"
"orange","yes"
"red","yes"
"orange","yes"
"green","no"
"red","no"
"red","yes"
"green","no"
"orange","yes"
"orange","no"
"orange","yes"
"orange","no"
"brown","yes"
"orange","yes"
"red","yes"
"orange","no"
"red","no"
"orange","yes"
"brown","yes"
"orange","no"
"red","no"
"orange","yes"
"red","no"
"red","no"
"orange","yes"
"orange","no"
"orange","yes"
"orange","yes"
"orange","yes"
"orange","no"
"red","no"
"orange","yes"
"red","yes"
"red","no"
"orange","no"
"orange","no"
"orange","yes"
"orange","yes"
"brown","yes"
"orange","yes"
"orange","no"
"red","yes"
"orange","yes"
"orange","yes"
"orange","yes"
"orange","no"
"orange","yes"
"green","no"
"orange","no"
"orange","yes"
"red","yes"
"orange","yes"
"orange","no"
"orange","no"
"red","yes"
"orange","yes"
"orange","yes"
"red","no"
"green","no"
"red","no"
"orange","yes"
"red","no"
"red","no"
"orange","no"
"red","no"
"red","yes"
"orange","yes"
"brown","no"
"orange","yes"
"red","no"
"brown","yes"
"orange","yes"
"orange","no"
"orange","yes"
"orange","yes"
"green","yes"
"orange","yes"
"red","yes"
"red","no"
"orange","no"
"orange","no"
"red","no"
"orange","no"
"green","no"
"orange","yes"
"orange","yes"
"orange","yes"
"red","no"
"red","no"
"orange","no"
"orange","yes"
"orange","no"
"orange","no"
"red","yes"
"green","no"
"orange","no"
"orange","yes"
"red","no"
"orange","no"
"red","no"
"red","no"
"orange","yes"
"orange","yes"
"orange","no"
"green","no"
"orange","yes"
"red","no"
"red","no"
"orange","yes"
"red","no"
"red","no"
"brown","no"
"orange","yes"
"green","no"
"orange","no"
"orange","no"
"red","yes"
"orange","yes"
"red","no"
"green","no"
"green","no"
"brown","no"
"red","no"
"orange","yes"
"orange","yes"
"red","no"
"green","no"
"orange","yes"
"red","no"
"orange","no"
"orange","no"
"green","no"
"orange","no"
"orange","yes"
"red","no"
"red","yes"
"orange","no"
"green","yes"
"orange","yes"
"orange","no"
"red","no"
"orange","no"
"orange","no"
"orange","no"
"orange","yes"
"orange","no"
"orange","no"
"orange","yes"
"orange","yes"
"green","no"
"green","no"
"orange","no"
"brown","yes"
"red","no"
"orange","no"
"orange","yes"
"green","no"
"orange","yes"
"red","no"
"orange","no"
"green","no"
"orange","yes"
"red","yes"
"orange","yes"
"orange","no"
"orange","yes"
"orange","no"
"orange","yes"
"red","yes"
"red","no"
"orange","yes"
"orange","no"
"red","no"
"red","yes"
"red","yes"
"red","no"
"brown","yes"
"orange","yes"
"orange","no"
"red","yes"
"red","no"
"orange","no"
"orange","no"
"orange","yes"
"red","no"
"green","no"
"orange","no"
"orange","yes"
"red","no"
"orange","no"
"red","yes"
"green","yes"
"red","no"
"red","no"
"orange","no"
"orange","no"
"green","no"
"red","no"
"orange","yes"
"green","no"
"green","no"
"red","yes"
"green","no"
"red","no"
"brown","no"
"orange","yes"
"brown","yes"
"orange","yes"
"brown","no"
"red","no"
"brown","yes"
"red","no"
"orange","no"
"red","no"
"green","no"
"red","no"
"orange","yes"
"brown","yes"
"orange","no"
"red","no"
"brown","no"
"red","no"
"red","no"
"orange","yes"
"red","no"
"orange","yes"
"red","no"
"orange","yes"
"red","no"
"orange","yes"
"orange","no"
"red","no"
"red","yes"
"red","yes"
"red","yes"
"orange","no"
"orange","no"
"red","yes"
"orange","no"
"red","no"
"red","yes"
"orange","yes"
"orange","yes"
"orange","yes"
"green","no"
"orange","yes"
"orange","no"
"orange","yes"
"brown","yes"
"orange","yes"
"green","no"
"orange","yes"
"orange","no"
"red","no"
"red","yes"
"red","no"
"orange","no"
"orange","no"
"orange","yes"
"green","no"
"brown","yes"
"orange","no"
"brown","yes"
"red","no"
"orange","no"
"red","yes"
"green","no"
"orange","no"
"green","no"
"brown","yes"
"brown","yes"
"red","no"
"orange","yes"
"orange","yes"
"orange","yes"
"red","yes"
"green","no"
"orange","yes"
"orange","yes"
"orange","no"
"orange","yes"
"green","no"
"orange","no"
"orange","yes"
"orange","no"
"orange","no"
"red","no"
"red","no"
"brown","no"
"red","yes"
"red","no"
"orange","no"
"orange","no"
"brown","yes"
"orange","yes"
"orange","yes"
"red","no"
"green","no"
"brown","yes"
"orange","yes"
"orange","yes"
"red","yes"
"orange","no"
"orange","yes"
"orange","yes"
"orange","no"
"orange","no"
"brown","no"
"orange","yes"
"red","no"
"red","yes"
"orange","yes"
"green","no"
"orange","no"
"red","no"
"orange","no"
"orange","no"
"orange","no"
"orange","no"
"red","no"
"orange","yes"
"orange","no"
"red","no"
"orange","yes"
"orange","no"
"orange","yes"
"brown","yes"
"orange","yes"
"brown","yes"
"orange","no"
"orange","no"
"orange","yes"
"red","no"
"red","no"
"red","no"
"green","no"
"orange","no"
"orange","yes"
"red","no"
"brown","no"
"orange","yes"
"orange","yes"
"brown","yes"
"orange","no"
"brown","no"
"orange","yes"
"orange","no"
"orange","yes"
"red","yes"
"orange","yes"
"red","yes"
"brown","yes"
"red","no"
"red","no"
"orange","no"
"orange","yes"
"red","no"
"orange","no"
"orange","no"
"green","yes"
"red","yes"
"brown","yes"
"orange","yes"
"red","no"
"orange","no"
"orange","no"
"orange","no"
"red","yes"
"orange","yes"
"orange","yes"
"orange","no"
"orange","no"
"brown","yes"
"red","yes"
"orange","no"
"green","no"
"green","no"
"orange","yes"
"orange","no"
"brown","yes"
"red","no"
"orange","no"
"orange","yes"
"orange","yes"
"brown","yes"
"orange","yes"
"orange","yes"
"red","no"
"red","no"
"green","no"
"brown","yes"
"brown","yes"
"orange","no"
"orange","no"
"green","no"
"red","no"
"brown","no"
"orange","no"
"orange","yes"
"orange","no"
"brown","no"
"red","no"
"red","yes"
"red","yes"
"orange","no"
"orange","no"
"orange","yes"
"red","yes"
"brown","no"
"orange","no"
"orange","yes"
"red","no"
"brown","yes"
"orange","no"
"orange","yes"
"red","yes"
"brown","no"
"green","no"
"brown","no"
"red","no"
"green","no"
"brown","yes"
"orange","yes"
"orange","yes"
"green","no"
"green","no"
"orange","yes"
"brown","yes"
"red","no"
"green","no"
"red","no"
"orange","yes"
"red","no"
"orange","yes"
"red","no"
"red","no"
"red","yes"
"orange","yes"
"orange","yes"
"orange","no"
"green","no"
"orange","yes"
"orange","yes"
"orange","no"
"red","no"
"red","no"
"red","no"
"orange","no"
"orange","no"
"orange","yes"
"orange","no"
"red","no"
"green","no"
"red","no"
"red","no"
"red","no"
"green","no"
"red","no"
"green","no"
"orange","yes"
"orange","no"
"orange","yes"
"orange","no"
"red","no"
"green","no"
"red","no"
"orange","no"
"orange","no"
"red","no"
"orange","no"
"brown","yes"
"green","no"
"red","yes"
"green","no"
"orange","no"
"green","no"
"orange","no"
"orange","yes"
"red","no"
"orange","no"
"red","no"
"red","yes"
"orange","yes"
"red","yes"
"orange","no"
"orange","yes"
"orange","yes"
"red","yes"
"red","no"
"orange","yes"
"red","yes"
"red","no"
"green","no"
"orange","no"
"brown","no"
"orange","yes"
"orange","no"
"brown","yes"
"orange","no"
"red","no"
"green","no"
"red","no"
"red","no"
"orange","no"
"green","no"
"orange","yes"
"red","no"
"red","no"
"orange","no"
"brown","yes"
"red","yes"
"red","no"
"orange","yes"
"red","no"
"red","yes"
"orange","yes"
"orange","no"
"orange","no"
"orange","no"
"orange","no"
"green","no"
